subws_id,num_pixels,precip_mn,PET_mn,AET_mn,wyield_mn,wyield_vol
1,83640.0,3808.48326509236,761.58666220286,393.95164978358,3560.87242770602,268048232.86800873
2,225044.0,4601.73427617748,1079.27942137982,536.07268062465,4060.36780656896,822385271.3953863
3,674318.0,5734.92433460806,623.03745058807,384.80374102323,5449.06697117596,3306963547.6826158
4,43111.0,4000.0,981.65940850363,476.0712964466,3523.09364985481,136695681.30500692
5,751571.0,4656.25211679861,960.25520678462,499.5278549038,4172.03989384823,2822025775.5535765
6,94094.0,3987.39688492717,802.30171675005,396.48604531247,3590.84720849521,304089459.5125452
7,113159.0,3985.78274469608,974.34233353653,473.81213715601,3523.88924220698,358883804.4830236
8,10651.0,-183.8033987419,-116.35487890735,-2.03001720168,-5.32111789977,-51007.70407540722
9,11247.0,3839.59069602901,1250.72635148296,620.35455283278,3340.72155470381,33815785.79317968
10,10569.0,2394.29107190354,-517.13265014215,293.45052788196,3096.5570875353,29454760.672345668
11,27276.0,3736.3599513869,340.51282973707,466.94846513378,3416.25958952835,83863706.90758097
12,18575.0,3851.24015240957,560.89441563322,297.29108310936,3644.72812893254,60930742.495432094
13,156750.0,3862.3742884371,748.13356036739,409.47128577488,3550.17891963475,500841491.08749175
14,143293.0,3996.76495007919,1006.03023677269,487.33965907729,3510.93343132537,452782965.7574331
15,190784.0,5838.73965005714,1046.3460735439,538.12743109226,5302.82399041059,910524574.9678798
16,654685.0,4098.68455483816,969.87892265547,492.76489822693,3622.45841619085,2134412269.3835986
17,15770.0,2656.91439784155,406.13699287601,409.21452114283,3288.20684541733,46669519.75700997
18,54785.0,3894.76938441983,729.80987501363,414.79044323964,3531.6976592394,174135650.6352942
19,422182.0,5015.63245771946,1049.7104433483,539.42556676459,4478.39771258721,1701629012.78601
20,383861.0,4358.41467403098,735.33030812292,496.641676549,3941.9890317707,1361858266.5521321
